,Unnamed: 0,Time Desc,jan1,jan2,jan3,jan4,jan5,jan6,jan7,jan8,jan9,jan10,jan11,jan12,jan13,jan14,jan15,jan16,jan17,jan18,jan19,jan20,jan21,jan22,jan23,jan24,jan25,jan26,jan27,jan28,jan29,jan30,jan31
0,0,00:00-00:15,2130.693847,2610.918035,2153.323019,2555.8434780000002,2334.0839170000004,1308.351885,1915.190855,2578.817795,2541.658625,2475.437015,2433.459918,2423.713686,2477.344213,1550.95684,2742.493878,2751.990066,2643.834534,2593.869505,2526.952708,2686.151234,1543.332089,1657.081312,2623.938189,1531.49253,1324.682,2015.581645,2350.554861,2164.087214,2070.919431,2258.746706,1777.3054370000002
1,1,00:15-00:30,1667.385199,2604.648087,1863.922265,2560.3641,2339.435492,1329.347761,2024.2536329999998,2607.25605,2527.3020699999997,2411.159305,2424.071064,2396.385899,2482.806568,1223.103334,2742.818257,2752.568709,2642.688625,2593.594995,2405.8804379999997,2666.3575960000003,1549.465817,1474.496332,2587.428896,1653.5356550000001,939.662231,2137.169648,2146.83275,2108.7660769999998,2185.197591,2111.730881,1519.1133849999999
2,2,00:30-00:45,1544.262102,2441.0026420000004,1612.954243,2445.11796,2337.378041,1328.46793,2102.827194,2367.600598,2535.01996,2418.1624920000004,2424.9223030000003,2365.127879,2386.605696,1252.355842,2741.628518,2734.276802,2648.651022,2576.766337,2166.648953,2670.227596,1614.8525849999999,1340.1960869999998,2602.490014,1685.6509010000002,926.4958710000001,2058.679187,1877.304757,2163.403418,2202.342479,2156.499731,1396.382068
3,3,00:45-01:00,1701.7088629999998,2286.850991,1603.870986,2429.8015179999998,2319.677608,1143.065498,2067.768768,2107.126114,2545.931395,2412.1681,2312.7175039999997,2365.127879,2381.35398,1272.160379,2748.4849440000003,2734.913663,2380.427549,2454.0462399999997,2000.746709,2548.52085,1478.723227,1340.5311980000001,2635.5574920000004,1314.540186,946.2947449999999,1919.332211,1773.8839329999998,2196.812388,2191.664758,2091.6390699999997,1265.0435710000002
4,4,01:00-01:15,1844.7527559999999,2260.23181,1458.656517,2390.5187899999996,2324.941703,958.0218960000001,1958.512942,2009.750017,2558.99257,2413.3422,2297.756302,2299.681434,2377.633313,1093.187096,2632.92016,2733.884817,1949.34042,2166.680211,2094.96268,2537.875767,1329.851499,1370.779524,2492.145691,964.297378,1046.7279720000001,1791.4927879999998,1651.66155,2197.389738,2199.12483,2208.416529,1202.72071
5,5,01:15-01:30,1597.645419,2266.7057440000003,1117.812,2450.0059739999997,2212.471489,984.6849300000001,1713.5489530000002,1704.275322,2511.1707469999997,2421.556506,2303.206861,2296.588472,2234.822943,983.8053869999999,2637.207966,2734.2343739999997,2206.7001579999996,1761.062748,2147.702632,2220.120308,1426.9272970000002,1368.254125,2324.028667,920.6331869999999,1080.6440109999999,1748.745814,1601.428263,2059.170002,2252.0856949999998,2195.737204,1195.721682
6,6,01:30-01:45,2037.8030379999998,2372.807233,1068.663644,2424.691123,1960.8196699999999,1030.470524,1597.058942,1775.44576,2543.258792,2412.328745,2297.663565,1749.743457,2180.198204,973.9321869999999,2635.8042,2731.799181,2424.383628,1627.614033,2279.7973230000002,2061.845753,1514.8025480000001,1374.887451,1885.170135,982.53639,1046.977661,1341.726155,1622.633947,1934.4716329999999,2040.151377,2121.523275,1202.952166
7,7,01:45-02:00,2134.245504,2519.720651,1088.03827,2417.768998,2271.658865,1032.792143,1498.235651,1918.855794,2498.708196,2219.179368,2297.5955719999997,1999.721432,2400.621428,973.722279,2618.053011,2734.072962,2514.412081,1818.701809,2327.8652399999996,2343.733033,1610.6392859999999,1402.786697,2055.622129,984.5930189999999,1088.822943,1865.6119010000002,1549.414741,1924.376906,2007.405799,1890.695862,1308.741211
8,8,02:00-02:15,1492.509603,2596.2645190000003,1216.968275,2421.804184,2333.695236,1079.10671,1227.528639,2086.856581,2351.6175829999997,1773.8673039999999,2278.849102,2142.548298,2403.4958739999997,974.664669,2398.5372899999998,2738.4166179999997,2518.232328,1859.5000989999999,2187.6287,2542.6539789999997,1612.818577,1413.1942199999999,2131.3485579999997,504.79967400000004,1072.858206,1576.882953,1557.264011,1423.965808,2006.7965609999999,1747.312297,1207.496646
9,9,02:15-02:30,1166.5391619999998,2596.5545190000003,1328.128473,2211.940113,2217.431657,910.904144,1176.967492,2176.700519,2022.7087609999999,1513.2417169999999,2257.532769,2257.182666,2394.9294019999998,973.7125550000001,2256.861193,2721.404811,2432.1117649999997,1879.3076899999999,2187.30419,2542.3294690000002,1600.855416,1412.326853,2130.9148059999998,432.06997300000006,1175.561678,1591.023852,1606.3919529999998,1735.1525989999998,1821.833238,1795.432188,1450.633523
10,10,02:30-02:45,1158.3046869999998,2309.304251,1100.285693,2073.092079,2217.461396,915.5148849999999,1192.2938279999998,1843.289162,2199.78915,1627.357938,2249.924919,2285.3295239999998,2162.380512,942.424577,2158.634242,2724.231005,2299.567087,1736.12563,2187.520477,2542.3294690000002,1319.0711039999999,1392.602797,2126.8348149999997,599.813054,1187.345663,1635.273276,1612.523752,1731.3039039999999,1834.8030239999998,1606.57521,1209.366284
