Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,2268.299505,42.98,-100.03,296.47,86.15,0,0,0,0,2593.869505
2,00:15-00:30,2267.974995,43.03,-100.03,296.47,86.15,0,0,0,0,2593.594995
3,00:30-00:45,2251.586337,42.59,-100.03,296.47,86.15,0,0,0,0,2576.766337
4,00:45-01:00,2126.60624,44.85,-100.03,296.47,86.15,0,0,0,0,2454.04624
5,01:00-01:15,1839.240211,44.85,-100.03,296.47,86.15,0,0,0,0,2166.680211
6,01:15-01:30,1433.622748,44.85,-100.03,296.47,86.15,0,0,0,0,1761.062748
7,01:30-01:45,1300.174033,44.85,-100.03,296.47,86.15,0,0,0,0,1627.614033
8,01:45-02:00,1491.261809,44.85,-100.03,296.47,86.15,0,0,0,0,1818.701809
9,02:00-02:15,1532.060099,44.85,-100.03,296.47,86.15,0,0,0,0,1859.500099
10,02:15-02:30,1551.86769,44.85,-100.03,296.47,86.15,0,0,0,0,1879.30769
11,02:30-02:45,1408.68563,44.85,-100.03,296.47,86.15,0,0,0,0,1736.12563
12,02:45-03:00,1386.255198,44.85,-100.03,296.47,86.15,0,0,0,0,1713.695198
13,03:00-03:15,1207.844715,44.85,-100.03,296.47,86.15,0,0,0,0,1535.284715
14,03:15-03:30,1168.305051,44.85,-100.03,296.47,86.15,0,0,0,0,1495.745051
15,03:30-03:45,1160.120668,44.85,-100.03,296.47,86.15,0,0,0,0,1487.560668
16,03:45-04:00,821.235804,44.85,-100.03,296.47,86.15,0,0,0,0,1148.675804
17,04:00-04:15,663.199989,44.85,-100.03,296.47,86.15,0,0,0,0,990.639989
18,04:15-04:30,832.07962,44.85,-100.03,296.47,86.15,0,0,0,0,1159.51962
19,04:30-04:45,1021.420668,44.85,-100.03,296.47,86.15,0,0,0,0,1348.860668
20,04:45-05:00,1042.936422,44.85,-100.03,296.47,86.15,0,0,0,0,1370.376422
21,05:00-05:15,883.469184,44.85,-100.03,296.47,83.45,0,0,0,0,1208.209184
22,05:15-05:30,803.941256,44.85,-100.03,296.47,84.22,0,0,0,0,1129.451256
23,05:30-05:45,1394.375995,44.85,-100.03,322.91,84.22,0,0,0,0,1746.325995
24,05:45-06:00,2066.7542,43.97,-100.03,349.35,84.22,0,0,0,0,2444.2642
25,06:00-06:15,2457.594081,44.85,-100.03,375.79,72.08,0,0,0,0,2850.284081
26,06:15-06:30,2803.707438,44.85,-100.03,375.79,5.85,0,0,0,0,3130.167438
27,06:30-06:45,2942.210332,44.66,189.05,375.79,-114.61,0,0,0,0,3437.100332
28,06:45-07:00,2902.300482,44.85,189.05,375.79,-164.9,0,0,0,0,3347.090482
29,07:00-07:15,3111.949084,44.85,189.05,375.37,9.06,0,0,0,0,3730.279084
30,07:15-07:30,3157.767197,44.85,189.05,374.55,9.06,0,0,0,0,3775.277197
31,07:30-07:45,3075.030664,44.85,189.05,339.57,9.06,0,0,0,0,3657.560664
32,07:45-08:00,2879.807149,44.85,189.05,304.98,9.06,0,0,0,0,3427.747149
33,08:00-08:15,2653.744325,44.85,189.05,263.32,3.76,0,0,0,0,3154.724325
34,08:15-08:30,2564.7705,44.85,189.05,242.81,142.52,0,0,0,0,3184.0005
35,08:30-08:45,2726.499567,44.85,189.05,217.34,149.26,0,0,0,0,3326.999567
36,08:45-09:00,2726.935143,44.85,189.05,189.31,168.53,0,0,0,0,3318.675143
37,09:00-09:15,2638.151704,44.85,189.05,159.66,283.2,0,0,0,0,3314.911704
38,09:15-09:30,2603.989658,44.85,189.05,129.76,184.91,0,0,0,0,3152.559658
39,09:30-09:45,2470.623154,44.85,189.05,103.5,3.76,0,0,0,0,2811.783154
40,09:45-10:00,2122.169679,44.53,189.05,76.47,3.76,0,0,0,0,2435.979679
41,10:00-10:15,1924.39971,44.85,189.05,53.87,3.76,0,0,0,0,2215.92971
42,10:15-10:30,2161.704806,43.08,189.05,31.61,3.76,0,0,0,0,2429.204806
