,Time Desc
0,00:00-00:15
1,00:15-00:30
2,00:30-00:45
3,00:45-01:00
4,01:00-01:15
5,01:15-01:30
6,01:30-01:45
7,01:45-02:00
8,02:00-02:15
9,02:15-02:30
10,02:30-02:45
11,02:45-03:00
12,03:00-03:15
13,03:15-03:30
14,03:30-03:45
15,03:45-04:00
16,04:00-04:15
17,04:15-04:30
18,04:30-04:45
19,04:45-05:00
20,05:00-05:15
21,05:15-05:30
22,05:30-05:45
23,05:45-06:00
24,06:00-06:15
25,06:15-06:30
26,06:30-06:45
27,06:45-07:00
28,07:00-07:15
29,07:15-07:30
30,07:30-07:45
31,07:45-08:00
32,08:00-08:15
33,08:15-08:30
34,08:30-08:45
35,08:45-09:00
36,09:00-09:15
37,09:15-09:30
38,09:30-09:45
39,09:45-10:00
40,10:00-10:15
41,10:15-10:30
42,10:30-10:45
43,10:45-11:00
44,11:00-11:15
45,11:15-11:30
46,11:30-11:45
47,11:45-12:00
48,12:00-12:15
49,12:15-12:30
50,12:30-12:45
51,12:45-13:00
52,13:00-13:15
53,13:15-13:30
54,13:30-13:45
55,13:45-14:00
56,14:00-14:15
57,14:15-14:30
58,14:30-14:45
59,14:45-15:00
60,15:00-15:15
61,15:15-15:30
62,15:30-15:45
63,15:45-16:00
64,16:00-16:15
65,16:15-16:30
66,16:30-16:45
67,16:45-17:00
68,17:00-17:15
69,17:15-17:30
70,17:30-17:45
71,17:45-18:00
72,18:00-18:15
73,18:15-18:30
74,18:30-18:45
75,18:45-19:00
76,19:00-19:15
77,19:15-19:30
78,19:30-19:45
79,19:45-20:00
80,20:00-20:15
81,20:15-20:30
82,20:30-20:45
83,20:45-21:00
84,21:00-21:15
85,21:15-21:30
86,21:30-21:45
87,21:45-22:00
88,22:00-22:15
89,22:15-22:30
90,22:30-22:45
91,22:45-23:00
92,23:00-23:15
93,23:15-23:30
94,23:30-23:45
95,23:45-24:00
